Date,ABBV,ARCC,AVGO,BABA,CVX,DIS,DRE,ECL,EPD,INTC,MS,NEE,OKE,PYPL,ROK,SBUX,T,TEAM,TSLA,WMT
2016-01-04,45.521305084228516,8.890103340148926,120.90440368652344,76.69000244140625,71.63825225830078,97.1557846069336,17.59048080444336,106.1978988647461,18.808992385864258,29.714635848999023,27.818462371826172,21.718425750732422,18.1829833984375,34.75,91.13116455078125,52.97035217285156,25.432275772094727,27.40999984741211,44.68199920654297,54.54078674316406
2016-01-05,45.3316650390625,8.9700288772583,116.85955810546875,78.62999725341797,72.25101470947266,95.19342803955078,17.826032638549805,106.58497619628906,18.64537239074707,29.574758529663086,27.6417293548584,21.93022346496582,18.197328567504883,34.310001373291016,90.31430053710938,53.324947357177734,25.60997200012207,26.770000457763672,44.68600082397461,55.83641815185547
2016-01-06,45.339561462402344,8.939287185668945,113.2650146484375,77.33000183105469,69.39678955078125,94.68395233154297,17.57365608215332,102.02515411376953,17.84862518310547,28.919095993041992,26.952449798583984,21.858924865722656,17.37246322631836,33.97999954223633,87.8995590209961,52.852169036865234,25.572431564331055,27.049999237060547,43.80799865722656,56.395511627197266
2016-01-07,45.205238342285156,8.656476974487305,109.66201782226562,72.72000122070312,66.93763732910156,93.87260437011719,17.077320098876953,99.38176727294922,17.20126724243164,27.835067749023438,25.609251022338867,21.955385208129883,16.339582443237305,33.130001068115234,83.86904907226562,51.54290771484375,25.159488677978516,26.969999313354492,43.130001068115234,57.7088737487793
2016-01-08,43.97257614135742,8.551959037780762,108.93974304199219,70.80000305175781,66.22003936767578,93.6367416381836,16.71558952331543,98.51321411132812,17.251060485839844,27.54657554626465,25.07903289794922,22.053945541381836,16.533245086669922,32.689998626708984,83.90496063232422,51.48836135864258,25.18201446533203,27.170000076293945,42.20000076293945,56.386627197265625
2016-01-11,42.573997497558594,8.496627807617188,108.80377197265625,69.91999816894531,65.12348175048828,94.26883697509766,16.850189208984375,98.76811218261719,16.432971954345703,28.02739715576172,25.14973258972168,22.139921188354492,16.2176456451416,33.040000915527344,83.88700103759766,52.57029724121094,25.489849090576172,27.1200008392334,41.56999969482422,56.99007034301758
2016-01-12,43.332557678222656,8.588849067687988,110.40132904052734,72.68000030517578,66.23615264892578,95.72174835205078,16.631458282470703,99.80660247802734,16.61081886291504,28.56941032409668,25.14973258972168,22.09798240661621,15.672515869140625,33.08000183105469,84.66798400878906,54.06140899658203,25.452301025390625,26.81999969482422,41.99399948120117,56.45762252807617
2016-01-13,40.86530303955078,8.355222702026367,104.78436279296875,70.29000091552734,65.57501983642578,92.91028594970703,16.429563522338867,97.36145782470703,15.501060485839844,27.896263122558594,23.762338638305664,21.938610076904297,15.041309356689453,32.119998931884766,83.45611572265625,52.61576843261719,25.332178115844727,26.729999542236328,40.0620002746582,54.94900894165039
2016-01-14,43.564109802246094,8.441295623779297,106.3819351196289,72.25,68.91301727294922,93.50465393066406,16.37908363342285,98.95693969726562,16.390287399291992,28.621858596801758,23.992097854614258,22.162982940673828,16.339582443237305,32.869998931884766,83.114990234375,53.62498474121094,25.752620697021484,26.84000015258789,41.236000061035156,55.96066665649414
2016-01-15,45.78383255004883,8.293740272521973,101.94617462158203,69.58999633789062,67.46170043945312,88.58932495117188,16.345434188842773,96.84223175048828,16.00613784790039,26.016698837280273,22.94934844970703,22.072818756103516,15.73706340789795,32.310001373291016,82.29813385009766,52.73396301269531,25.519874572753906,25.190000534057617,40.99800109863281,54.9578857421875
2016-01-19,43.90744400024414,8.33677864074707,102.0311508178711,70.12999725341797,65.72013092041016,88.65536499023438,16.345434188842773,96.64395141601562,15.102681159973145,26.051664352416992,23.20562171936035,22.6075439453125,14.912203788757324,32.20000076293945,81.92111206054688,53.23402786254883,25.910293579101562,24.020000457763672,40.944000244140625,55.51696014404297
2016-01-20,45.63212585449219,8.12774658203125,105.22625732421875,68.70999908447266,63.68025207519531,87.30622863769531,15.874338150024414,96.71004486083984,14.24190902709961,25.86808204650879,22.30426025390625,22.083297729492188,14.37424087524414,31.200000762939453,80.52973175048828,51.75202560424805,25.452301025390625,22.6299991607666,39.7400016784668,53.9906005859375
2016-01-21,46.59825897216797,8.232259750366211,105.82110595703125,70.72000122070312,65.34923553466797,88.7025146484375,15.941642761230469,96.1530532836914,14.711424827575684,25.929277420043945,21.897764205932617,22.026681900024414,16.22481918334961,31.200000762939453,80.84391021728516,53.67045211791992,25.932817459106445,24.239999771118164,39.99399948120117,54.913509368896484
2016-01-22,46.97353744506836,8.484332084655762,105.80408477783203,70.37000274658203,67.3569107055664,91.41963958740234,16.42115020751953,99.11742401123047,15.35166072845459,26.165311813354492,22.631221771240234,22.353811264038086,18.0036678314209,31.690000534057617,82.2083740234375,53.797733306884766,26.38330078125,24.610000610351562,40.5099983215332,55.63232421875
2016-01-25,46.82980728149414,8.373664855957031,105.7870864868164,69.72000122070312,65.22023010253906,89.90070343017578,16.311784744262695,97.48419952392578,15.202276229858398,25.876821517944336,22.07450294494629,22.316062927246094,16.942094802856445,31.469999313354492,81.38249969482422,52.47029495239258,26.278188705444336,23.670000076293945,39.2760009765625,56.3067626953125
2016-01-26,46.51842498779297,8.515070915222168,105.7021255493164,69.7699966430664,67.82453918457031,90.82527160644531,16.774473190307617,98.30552673339844,15.799836158752441,26.174057006835938,22.525184631347656,22.345428466796875,17.429841995239258,31.969999313354492,84.8026123046875,53.28858947753906,26.57851219177246,24.010000228881836,38.71200180053711,56.79483413696289
